segment_id,acc_total,pred_risk_level,risk_score,risk_pct
37609,0,2,0.6629458734920869,66.3
37610,0,2,0.6691681467539942,66.9
37611,0,2,0.6731698131964853,67.3
37612,0,2,0.6717024260433391,67.2
37613,0,2,0.6706527351246526,67.1
37614,0,2,0.6700207087754583,67.0
37615,0,2,0.6734701809085285,67.3
37616,0,2,0.6710643141220013,67.1
37617,0,2,0.6672275507201751,66.7
37618,0,2,0.6680715115508065,66.8
37619,0,2,0.6708870177002003,67.1
37620,0,2,0.6683526763226837,66.8
37621,0,2,0.6710643141220013,67.1
37622,0,2,0.6696746219725659,67.0
37623,0,2,0.6696746219725659,67.0
37624,0,2,0.6696746219725659,67.0
37625,0,2,0.66923751111608,66.9
37626,0,2,0.6698062537470832,67.0
37627,0,2,0.6695933568213756,67.0
37628,0,2,0.6688244510830069,66.9
37629,0,2,0.66923751111608,66.9
37630,0,2,0.6698062537470832,67.0
37631,0,2,0.6698062537470832,67.0
37632,0,2,0.6677789449458942,66.8
37633,0,2,0.6691130826172108,66.9
37634,0,2,0.6698062537470832,67.0
37635,0,2,0.6672625568462536,66.7
37636,0,2,0.6707332779187709,67.1
37637,0,2,0.6691193403288102,66.9
37638,0,2,0.6687855647178367,66.9
37639,0,2,0.668474209921745,66.8
37640,0,2,0.662964933241407,66.3
37641,0,2,0.6543364155416688,65.4
37642,0,2,0.654670814362665,65.5
37643,0,0,0.31666864703098935,31.7
37644,0,0,0.07728990229467551,7.7
37645,0,2,0.526210218667984,52.6
37646,0,2,0.6688644617873555,66.9
37647,0,2,0.669241615338251,66.9
37648,0,2,0.6681013210909441,66.8
37649,0,2,0.6693564153198773,66.9
37650,0,2,0.6681187527719885,66.8
37651,0,2,0.670128367918854,67.0
37652,0,2,0.6684703362795213,66.8
37653,0,2,0.6690409816025445,66.9
37654,0,2,0.6693564153198773,66.9
37655,0,2,0.6673483683650071,66.7
37656,0,2,0.6688644617873555,66.9
37657,0,2,0.6679145169521993,66.8
37658,0,2,0.6681713017169386,66.8
37659,0,2,0.6678336089632163,66.8
37660,0,2,0.6679291394927228,66.8
37661,0,2,0.6676642029779032,66.8
37662,0,2,0.6653097784146667,66.5
37663,0,2,0.6680770963430405,66.8
37664,0,2,0.6679179676187535,66.8
37665,0,2,0.6694828159331033,66.9
37666,0,2,0.6617457267517844,66.2
37667,0,2,0.6684793146559969,66.8
